#  
"85  ";"G 265-8                            ";PM*;01 19 52.1739076588 +84 09 32.796818512;"     ~   ";"16.56    ";"     ~   ";"13.5     ";"     ~   ";"M5                     ";"  31";"   0"
"86  ";"G 248-12                           ";PM*;04 06 37.2406689223 +79 16 01.427916644;"     ~   ";"16.4     ";"     ~   ";"14.7     ";"     ~   ";"M4.5                   ";"  17";"   0"
"87  ";"HD 233153                          ";PM*;05 41 30.7306794471 +53 29 23.290604578;"     ~   ";"11.31    ";"     ~   ";"9.343    ";"     ~   ";"M1.0V                  ";" 171";"   0"
"88  ";"HD 37394                           ";BY*;05 41 20.3356800431 +53 28 51.808818686;"7.58     ";"7.07     ";"6.23     ";"5.54     ";"5.11     ";"K1                     ";" 310";"   0"
"89  ";"2MASS J18071593+5015316            ";BD*;18 07 15.9375533592 +50 15 31.636789740;"     ~   ";"     ~   ";"     ~   ";"     ~   ";"     ~   ";"L1                     ";"  37";"   0"
"90  ";"G 227-22                           ";PM*;18 02 16.6038674062 +64 15 44.241600544;"     ~   ";"14.74    ";"     ~   ";"13.010   ";"     ~   ";"M5.0V                  ";"  64";"   0"
"91  ";"G 258-33                           ";Er*;18 18 57.2325828283 +66 11 33.304331650;"     ~   ";"15.29    ";"     ~   ";"13.096   ";"     ~   ";"M4.5V                  ";"  80";"   0"
"92  ";"* chi Dra                          ";SB*;"18 21 03.38255 +72 43 58.2518          ";"4.010    ";"4.070    ";"3.580    ";"3.14     ";"2.83     ";"F7V                    ";" 390";"   1"
"93  ";"BD+62 780                          ";PM*;05 45 48.2763109507 +62 14 12.385602280;"     ~   ";"10.867   ";"     ~   ";"8.2      ";"     ~   ";"K7V                    ";"  75";"   0"
"94  ";"G 192-12                           ";Er*;05 59 55.6843213080 +58 34 15.208880304;"     ~   ";"15.24    ";"     ~   ";"13.23    ";"     ~   ";"M4.2V                  ";"  43";"   0"
"95  ";"G 192-11                           ";PM*;05 59 37.7519624928 +58 35 34.842646248;"     ~   ";"     ~   ";"     ~   ";"9.81     ";"     ~   ";"M0.0V                  ";"  60";"   1"
"96  ";"G 204-39                           ";PM*;17 57 50.9660613981 +46 35 19.127676045;"     ~   ";"13.97    ";"11.64    ";"11.3     ";"     ~   ";"M2.5V                  ";"  75";"   0"
"97  ";"SDSS J175805.46+463311.9           ";BD*;"17 58 05.45496 +46 33 09.9108          ";"     ~   ";"     ~   ";"     ~   ";"     ~   ";"     ~   ";"T7                     ";"  36";"   0"
"98  ";"BD+68 946                          ";PM*;17 36 25.8993094605 +68 20 20.909627174;"11.73    ";"10.65    ";"     ~   ";"8.3      ";"     ~   ";"M3.0V                  ";" 271";"   0"
"99  ";"EGGR 372                           ";WD*;17 48 07.9928195849 +70 52 35.922050086;"     ~   ";"     ~   ";"     ~   ";"13.5     ";"     ~   ";"DQ9P                   ";" 130";"   0"
"100 ";"G 259-17                           ";PM*;17 42 41.5558807800 +75 37 18.774450812;"     ~   ";"16.3     ";"     ~   ";"13.1     ";"     ~   ";"M4.5V                  ";"  18";"   0"
"101 ";"G 259-15                           ";PM*;17 31 17.2056345951 +82 05 20.057030541;"     ~   ";"15.95    ";"     ~   ";"12.9     ";"     ~   ";"M4                     ";"  28";"   0"
"102 ";"G 222-11                           ";PM*;06 10 19.8468098360 +82 06 24.318574744;"     ~   ";"12.214   ";"     ~   ";"9.5      ";"     ~   ";"M2.5V                  ";" 107";"   0"
"103 ";"G 192-13                           ";PM*;06 01 11.0455145210 +59 35 49.884065409;"     ~   ";"13.31    ";"     ~   ";"10.7     ";"     ~   ";"M4.0Ve                 ";"  79";"   0"
"104 ";"G 249-36                           ";PM*;06 05 29.4016804298 +60 49 22.464244993;"     ~   ";"14.7     ";"     ~   ";"12.8     ";"     ~   ";"M4.5V                  ";"  34";"   0"
"105 ";"G 192-22                           ";PM*;06 14 02.3616820087 +51 40 08.070066907;"     ~   ";"14.5     ";"     ~   ";"12.525   ";"     ~   ";"M3.5Ve                 ";"  29";"   0"
"106 ";"G 192-15                           ";PM*;06 02 29.1943155520 +49 51 56.155536974;"     ~   ";"16.32    ";"     ~   ";"13.4     ";"     ~   ";"M5.0V                  ";"  56";"   0"
"107 ";"HD 160520                          ";PM*;17 37 14.2227827280 +55 44 27.825668232;"     ~   ";"8.16     ";"7.04     ";"     ~   ";"     ~   ";"K0                     ";"  14";"   0"
"108 ";"G 226-66                           ";PM*;17 35 34.4785242391 +61 40 53.628113703;"     ~   ";"11.40    ";"9.98     ";"9.52     ";"8.01     ";"M1V                    ";" 126";"   0"
"109 ";"* 26 Dra                           ";SB*;"17 34 59.59363 +61 52 28.4006          ";"5.950    ";"5.830    ";"     ~   ";"4.8      ";"     ~   ";"F9V+K3V                ";" 251";"   0"
"110 ";"* 26 Dra A                         ";PM*;17 34 59.6247424155 +61 52 28.241837953;"     ~   ";"5.93     ";"5.28     ";"     ~   ";"     ~   ";"G0IV-V                 ";"  22";"   0"
"111 ";"HD 158633                          ";PM*;17 25 00.0977414147 +67 18 24.148745592;"     ~   ";"7.19     ";"     ~   ";"5.9      ";"     ~   ";"K0                     ";" 185";"   0"
"112 ";"G 253-6                            ";Er*;07 55 53.9285264465 +83 23 04.942987417;"     ~   ";"14.2     ";"     ~   ";"12.7     ";"     ~   ";"M5.0V                  ";"  58";"   0"
"113 ";"G 240-23                           ";Er*;16 40 20.6348182449 +67 36 04.738961834;"     ~   ";"17.6     ";"     ~   ";"15.565   ";"     ~   ";"M7V                    ";"  40";"   0"
"114 ";"Ross 1057                          ";SB*;15 41 16.5691507450 +75 59 33.977735380;"     ~   ";"12.272   ";"     ~   ";"11.4     ";"     ~   ";"M3.5Ve                 ";"  59";"   0"
"115 ";"G 251-58                           ";PM*;08 13 44.5516057698 +79 18 11.458469976;"     ~   ";"16.4     ";"14.80    ";"13.44    ";"11.66    ";"M5V                    ";"  18";"   0"
"116 ";"G 250-31                           ";"** ";"06 57 57.118872 +62 19 19.36632        ";"     ~   ";"14.8     ";"     ~   ";"13.420   ";"     ~   ";"M6V+M5V                ";"  62";"   0"
"117 ";"G 250-29                           ";"** ";06 54 04.3730154767 +60 52 18.104163582;"     ~   ";"     ~   ";"     ~   ";"10.0     ";"     ~   ";"M3.0Ve                 ";"  65";"   0"
"118 ";"G 203-42                           ";PM*;17 03 23.8838600746 +51 24 22.868680261;"     ~   ";"15.31    ";"     ~   ";"13.301   ";"     ~   ";"M5.0V                  ";"  58";"   0"
"119 ";"V* DN Dra                          ";WD*;16 48 25.6318375106 +59 03 22.658985521;"     ~   ";"12.34    ";"12.17    ";"12.44    ";"     ~   ";"DA4.0                  ";" 205";"   0"
